song_id,song_title,artist_band,duration,spotify_url,spotify_uri
1M5SsjUVGbKCCiAqhBkAjZ,Ayoko Na Sa 'Yo,Various Artists,3:03,https://open.spotify.com/track/1M5SsjUVGbKCCiAqhBkAjZ,spotify:track:1M5SsjUVGbKCCiAqhBkAjZ
7a43fL6vRH9el7zssUdmIj,Pers Lab,Hotdog,2:30,https://open.spotify.com/track/7a43fL6vRH9el7zssUdmIj,spotify:track:7a43fL6vRH9el7zssUdmIj
56NIXHSIfGMEMfYESyY337,Ako'y Pinoy,Florante,2:32,https://open.spotify.com/track/56NIXHSIfGMEMfYESyY337,spotify:track:56NIXHSIfGMEMfYESyY337
5W7SDGgyO1nEDz0StX5Qml,Kailangan Kita,Leah Navarro,3:25,https://open.spotify.com/track/5W7SDGgyO1nEDz0StX5Qml,spotify:track:5W7SDGgyO1nEDz0StX5Qml
0su6YSaGxlunP2znH5OkZZ,Together Forever,RICO J PUNO,3:50,https://open.spotify.com/track/0su6YSaGxlunP2znH5OkZZ,spotify:track:0su6YSaGxlunP2znH5OkZZ
0ykEJX4cuvM8rWtcSBZN2N,Legs,Hagibis,5:22,https://open.spotify.com/track/0ykEJX4cuvM8rWtcSBZN2N,spotify:track:0ykEJX4cuvM8rWtcSBZN2N
6yh8Py6xhBR4Vjghfs3mio,Both in Love,Tito Mina,3:31,https://open.spotify.com/track/6yh8Py6xhBR4Vjghfs3mio,spotify:track:6yh8Py6xhBR4Vjghfs3mio
7FdLxktAbiOF4gKfoZmg30,Sumayaw Sumunod,The Boyfriends,3:17,https://open.spotify.com/track/7FdLxktAbiOF4gKfoZmg30,spotify:track:7FdLxktAbiOF4gKfoZmg30
1jih6theWKvPnbpfz18yiY,Can You Read My Mind,Janet Basco,3:28,https://open.spotify.com/track/1jih6theWKvPnbpfz18yiY,spotify:track:1jih6theWKvPnbpfz18yiY
5QjwnfOXbx8iiC4WN9WGJ7,Bato Sa Buhangin,Cinderella,3:32,https://open.spotify.com/track/5QjwnfOXbx8iiC4WN9WGJ7,spotify:track:5QjwnfOXbx8iiC4WN9WGJ7
2sAe4fzDXRH3qLIgcRUeIE,Paano Pa Kita Malilimutan,Yolly Samson,3:17,https://open.spotify.com/track/2sAe4fzDXRH3qLIgcRUeIE,spotify:track:2sAe4fzDXRH3qLIgcRUeIE
0F3W3H4PvKSMOvh2s2XfRY,Pag-Ibig Na Walang Dangal (Kapag Wala Ka Na),Eva Eugenio,3:27,https://open.spotify.com/track/0F3W3H4PvKSMOvh2s2XfRY,spotify:track:0F3W3H4PvKSMOvh2s2XfRY
3SZ5NnUeKuCnEcIApsBKUP,Baby by Me - Remix,Rainmakers,3:27,https://open.spotify.com/track/3SZ5NnUeKuCnEcIApsBKUP,spotify:track:3SZ5NnUeKuCnEcIApsBKUP
0STYqwE8m83Z76Hzo5lhDp,Ipagpatawad Mo,VST & Company,3:32,https://open.spotify.com/track/0STYqwE8m83Z76Hzo5lhDp,spotify:track:0STYqwE8m83Z76Hzo5lhDp
5DdoVERFA9j9sAxuOjIvC8,Bonggahan,Sampaguita,3:43,https://open.spotify.com/track/5DdoVERFA9j9sAxuOjIvC8,spotify:track:5DdoVERFA9j9sAxuOjIvC8
6FZVUIjfq0jB6wM51sOMaM,Kamusta Ka?,REY VALERA,2:56,https://open.spotify.com/track/6FZVUIjfq0jB6wM51sOMaM,spotify:track:6FZVUIjfq0jB6wM51sOMaM
6NP7l2FDt6cbfLfMjpgfjQ,Panahon,Juan Dela Cruz Band,3:11,https://open.spotify.com/track/6NP7l2FDt6cbfLfMjpgfjQ,spotify:track:6NP7l2FDt6cbfLfMjpgfjQ
6UOyWCu5Bzy8A1UBF2SKcW,Usapan (Dialogo),Singsing,3:59,https://open.spotify.com/track/6UOyWCu5Bzy8A1UBF2SKcW,spotify:track:6UOyWCu5Bzy8A1UBF2SKcW
7fzDTtgmiC4axAXoOeqaoP,Tell Me,Joey Albert,2:49,https://open.spotify.com/track/7fzDTtgmiC4axAXoOeqaoP,spotify:track:7fzDTtgmiC4axAXoOeqaoP
6pjyciQvwOdgkpXfiKTJTf,Sabik Na Sabik,Ella del Rosario,3:13,https://open.spotify.com/track/6pjyciQvwOdgkpXfiKTJTf,spotify:track:6pjyciQvwOdgkpXfiKTJTf
02b9Z8WRHkd3Kx4cLRKoLm,Masdan Mo Ang Kapaligiran,Asin,4:05,https://open.spotify.com/track/02b9Z8WRHkd3Kx4cLRKoLm,spotify:track:02b9Z8WRHkd3Kx4cLRKoLm
0I225QUEa1B3aFzhBuSzNO,Carmelita,Victor Wood,2:36,https://open.spotify.com/track/0I225QUEa1B3aFzhBuSzNO,spotify:track:0I225QUEa1B3aFzhBuSzNO
0tUDnyElERCPI9mjZTgGkc,Saan Ako Nagkamali,Various Artists,3:11,https://open.spotify.com/track/5hMZiBanjZLUCHdGDThepi,spotify:track:0tUDnyElERCPI9mjZTgGkc
3OMPSMGE6oESj4TvL9EN5V,Laging Mayroong Bukas,Various Artists,4:04,https://open.spotify.com/track/2ObMF8w9CgrTvkXlemFgEC,spotify:track:3OMPSMGE6oESj4TvL9EN5V
0upHuf2RPz3FKEybb2iNCe,Fast Car - Radio Edit,Blue Jeans,3:32,https://open.spotify.com/track/0upHuf2RPz3FKEybb2iNCe,spotify:track:0upHuf2RPz3FKEybb2iNCe
2RJBtxvDtcuoYWdQcvN20b,B-BOY AIRLINE,WADA-B,3:04,https://open.spotify.com/track/2RJBtxvDtcuoYWdQcvN20b,spotify:track:2RJBtxvDtcuoYWdQcvN20b
7A99FJV4PHeKUva4uU4Es5,Falling In Love Again,Eugene Villaluz,3:45,https://open.spotify.com/track/7A99FJV4PHeKUva4uU4Es5,spotify:track:7A99FJV4PHeKUva4uU4Es5
62cHyLrg98u2FusCqhqHPI,"A Little Kiss, a Little Hug",Vernie Varga,3:37,https://open.spotify.com/track/62cHyLrg98u2FusCqhqHPI,spotify:track:62cHyLrg98u2FusCqhqHPI
4S7ZWMjl0imFChcsqtgsQ0,Constantly,RJ Jacinto,3:07,https://open.spotify.com/track/4S7ZWMjl0imFChcsqtgsQ0,spotify:track:4S7ZWMjl0imFChcsqtgsQ0
